aaaActiveUserSession	actsession-{hashToken}
aaaAuthRealm	authrealm
aaaBlockLoginProfile	blockloginp
aaaConsoleAuth	consoleauth
aaaCtrlrRetP	ifcaaaretp
aaaDefaultAuth	defaultauth
aaaDeletedUserSession	delsession-{hashToken}
aaaDomain	domain-{name}
aaaDomainAuth	domainauth
aaaDomainRef	domain-{name}
aaaDuoEp	duoext
aaaDuoProviderGroup	duoprovidergroup-{name}
aaaFabricSec	fabricsec
aaaFactoryRole	factoryrole-{name}
aaaFailedLogin	failedlogin-{sessionId}
aaaFailedLoginUser	type-{utype}-user-{username}
aaaKafkaAcl	kafkaacl-{name}
aaaKafkaEp	kafkaext
aaaKafkaSubscription	kafkaSubID-{subID}-cn-{subscriberCN}
aaaKafkaSubscriptionClass	kafkaSubscriptionClass-{subscriptionClass}
aaaKafkaTopic	kafkatopic-{name}
aaaLdapEp	ldapext
aaaLdapGroupMap	ldapgroupmap-{name}
aaaLdapGroupMapRule	ldapgroupmaprule-{name}
aaaLdapGroupMapRuleRef	ldapgroupmapruleref-{name}
aaaLdapProvider	ldapprovider-{name}
aaaLdapProviderGroup	ldapprovidergroup-{name}
aaaLoginDomain	logindomain-{name}
aaaOauthEp	oauthext
aaaOauthProvider	oauthprovider-{name}
aaaOauthProviderGroup	oauthprovidergroup-{name}
aaaPartialRbacRule	prule-[{partialObjectDn}]-dom-{domain}
aaaPingEp	pingext
aaaPreLoginBanner	preloginbanner
aaaProviderRef	providerref-{name}
aaaPwdProfile	pwdprofile
aaaPwdStrengthProfile	pwdstrengthprofile
aaaRadiusEp	radiusext
aaaRadiusProvider	radiusprovider-{name}
aaaRadiusProviderGroup	radiusprovidergroup-{name}
aaaRbacAnnotation	rbacDom-{domain}
aaaRbacClassPriv	rbacclpriv-{className}
aaaRbacDomain	rbacdomain-{name}
aaaRbacEp	rbacdb
aaaRbacNodeRule	rbacnoderule-{nodeId}
aaaRbacPortRule	rbacportrule-{name}
aaaRbacRule	rule-[{objectDn}]-dom-{domain}
aaaRemoteUser	remoteuser-{name}
aaaRole	role-{name}
aaaRsSecProvToEpg	rsSecProvToEpg
aaaRsToSnInbEpg	rstoSnInbEpg
aaaRsToSnOobEpg	rstoSnOobEpg
aaaRsaEp	rsaext
aaaRsaProvider	rsaprovider-{name}
aaaRsaProviderGroup	rsaprovidergroup-{name}
aaaSamlEncCert	samlenccert-{name}
aaaSamlEp	samlext
aaaSamlProvider	samlprovider-{name}
aaaSamlProviderGroup	samlprovidergroup-{name}
aaaServiceNode	servicenode-{serialNumber}
aaaServiceNodeCluster	snclstr-{name}
aaaSshAuth	sshauth-{name}
aaaSwRetP	swaaaretp-{name}
aaaTacacsPlusEp	tacacsext
aaaTacacsPlusProvider	tacacsplusprovider-{name}
aaaTacacsPlusProviderGroup	tacacsplusprovidergroup-{name}
aaaUser	user-{name}
aaaUserCert	usercert-{name}
aaaUserConf	userconf
aaaUserData	userdata
aaaUserDomain	userdomain-{name}
aaaUserEp	userext
aaaUserGroupMapRule	usrgrpmaprule-{name}
aaaUserPreferences	pref
aaaUserProfile	prof
aaaUserRole	role-{name}
aaaUserSelf	userself-{uType}-{name}
aaaVMMCertificateRule	vmmcert-[{certDn}]
acLatencyHistIntvl	latencyhist
acLatencyInst	latencyinst
acLatencyPtpModeDef	latencyptpmodedef
aclEntity	acl
actionCont	action
actionLCont	action
actionLSubj	lsubj-[{oDn}]
adepgRsSvrCertChain	rssvrCertChain
adepgRsSvrKeyRing	rssvrKeyRing
analyticsBDTarget	bd-[{id}]-bd-{fltType}
analyticsCfgSrv	cfgsrv-{name}
analyticsCluster	cluster-{name}
analyticsCollector	collector-{name}
analyticsCollectorBucket	collectorbucket-{id}
analyticsCons	cons-[{consumerDn}]
analyticsCont	analytics
analyticsController	controller-{name}
analyticsEntity	analytics
analyticsFwdInstTarget	fwdinst-{id}
analyticsHwTelemetry	hwtelemetry
analyticsMatchAcl	acl-{name}
analyticsMonitor	monitor-{name}
analyticsPayloadLenBin	payloadlenbin-{id}
analyticsPhysIfTarget	if-[{id}]-flt-{fltType}-layer-{layer}
analyticsPolicy	policy-{name}
analyticsProfile	prof-{name}
analyticsProv	prov-[{providerDn}]
analyticsRcvWindowSzBin	rcvwindowszbin-{id}
analyticsRecordP	recordp-{name}
analyticsRecordSsx	recordssx-{name}
analyticsRsCollectorAtt	rscollectorAtt-[{tDn}]
analyticsRsMonitorAtt	rsmonitorAtt
analyticsRsPolicyAtt	rspolicyAtt
analyticsRsProfAtt	rsprofAtt
analyticsRsRecordPAtt	rsrecordPAtt
analyticsRsRecordSsxAtt	rsrecordSsxAtt
analyticsRsSrvCtx	rssrvCtx
analyticsRsTargetToAcl	rstargetToAcl-[{tDn}]
analyticsRsTargetToInstalledAcl	rstargetToInstalledAcl-[{tDn}]
analyticsSampler	sampler-{name}
analyticsTCPOptHdrLenBin	tcpopthdrlenbin-{id}
apAnomaly	anomaly-{nodeName}-{resource}-{severity}-{startTs}
apBasePackage	basepkg-{appCtxRoot}
apContainerPol	ContainerPol
apDockerContr	dockerContr
apDockerImage	dockerimage-{name}
apPlugin	plugin-{appCtxRoot}
apPluginContr	pluginContr
apPluginPol	pluginPol
apPluginPolContainer	pluginPolContainer
apPluginPolContr	pluginPolContr
apPluginPolicy	pluginPolicy
apPrepackagedPlugins	prepackagedPlugins
apPrepackagedPluginsDef	prepackagedPluginsDef
apphostingAppBridge	bridge-{bridgeId}
apphostingAppConf	appconf-{appId}
apphostingAppGlobalCfg	globalcfg
apphostingAppHosting	apphosting
apphostingAppResourceCfg	resource
apphostingNameSvrEntry	namesvr-{tagName}
apphostingRunOpt	runopt-{optIdx}
apphostingVnicEntry	vnic-{guestIntfId}
arpDom	dom-{name}
arpEntity	arp
arpEventLogs	evtLogs-{eventType}
arpIf	if-[{id}]
arpIfPol	arpifpol-{name}
arpInst	inst
arpIpv4Throttle	ipgleanthrottle
arpStAdjEp	sadj-[{ip}]
arpVpc	vpc
arpVpcDom	dom-{domainId}
authRsSvrToMgmtEPg	rssvrToMgmtEPg
authRsSvrToMonPol	rssvrToMonPol
authSvr	authsvr-{name}
authSvrGroup	authsvrgrp-{name}
authUsrAccP	usracc
awsKeyPair	keypair-{name}
bdEnforceExceptIp	EnforceExpIp-[{ip}]
bfdAuthP	auth
bfdEntity	bfd
bfdIf	if-[{id}]
bfdIfAf	af-{type}
bfdIfKaP	ifka
bfdIfP	bfdIfP
bfdIfPol	bfdIfPol-{name}
bfdInst	inst
bfdInstAf	af-{type}
bfdIpv4InstPol	bfdIpv4Inst-{name}
bfdIpv6InstPol	bfdIpv6Inst-{name}
bfdKaP	ka
bfdMhAuthP	mhauth
bfdMhIfAf	mhaf-{type}
bfdMhIfP	bfdMhIfP
bfdMhIfPol	bfdMhIfPol-{name}
bfdMhIpv4InstPol	bfdMhIpv4Inst-{name}
bfdMhIpv6InstPol	bfdMhIpv6Inst-{name}
bfdMhKaP	mhka
bfdMhNodeP	bfdMhNodeP
bfdMhNodePol	bfdMhNodePol-{name}
bfdMhop	mhop
bfdMicroBfdP	microBfdP
